SYNTHETIC BANK ACCOUNT STATEMENT
Period: 2026-01-01 — 2026-03-31
Every data row below is one posted bank transaction; no archive or instructions are included.
transaction_id,occurred_at,posted_at,merchant,description,amount_minor,currency,card_last4,channel,status,category_id,merchant_country,mcc,authorization_code,terminal_id,counterparty,balance_after_minor,payment_purpose,provider_reference,fee_minor
TX-000001,2026-01-01 09:07:00,2026-01-02,NOVA MARKET,groceries,-727,RUB,4401,card,posted,food.groceries,RU,5311,AUTH-0000000001,TERM-1001,counterparty-01,7499273,household account; groceries; statement export,PROVIDER-2026-00000001,1
TX-000109,2026-01-19 09:43:00,2026-01-20,MEDI-CORNER,pharmacy goods,-15523,RUB,4409,card,posted,health.pharmacy,RU,5912,AUTH-0000000109,TERM-1019,counterparty-13,6614375,household account; pharmacy goods; statement export,PROVIDER-2026-00000109,1
TX-000110,2026-01-20 10:50:00,2026-01-21,STREAM BOX,monthly subscription,-15660,RUB,4400,card,posted,services.digital,RU,4899,AUTH-0000000110,TERM-1020,counterparty-14,6598715,household account; monthly subscription; statement export,PROVIDER-2026-00000110,2
TX-000111,2026-01-21 11:57:00,2026-01-22,GREEN MARKET,fresh food,-15797,RUB,4401,qr,posted,food.groceries,RU,5411,AUTH-0000000111,TERM-1021,counterparty-15,6582918,household account; fresh food; statement export,PROVIDER-2026-00000111,3
TX-000112,2026-01-22 12:04:00,2026-01-23,BOOK HOUSE,books and stationery,-15934,RUB,4402,card,posted,unknown,RU,5942,AUTH-0000000112,TERM-1022,counterparty-16,6566984,household account; books and stationery; statement export,PROVIDER-2026-00000112,0
TX-000113,2026-01-23 13:11:00,2026-01-24,NOVA MARKET,groceries,-16071,RUB,4403,card,posted,food.groceries,RU,5311,AUTH-0000000113,TERM-1023,counterparty-17,6550913,household account; groceries; statement export,PROVIDER-2026-00000113,1
TX-000114,2026-01-24 14:18:00,2026-01-25,CITY RIDE,completed ride,-16208,RUB,4404,qr,posted,transport,RU,4121,AUTH-0000000114,TERM-1024,counterparty-18,6534705,household account; completed ride; statement export,PROVIDER-2026-00000114,2
TX-000115,2026-01-25 15:25:00,2026-01-26,RIVER PAY,online order,-16345,RUB,4405,card,posted,services.digital,RU,5812,AUTH-0000000115,TERM-1025,counterparty-19,6518360,household account; online order; statement export,PROVIDER-2026-00000115,3
TX-000116,2026-01-26 16:32:00,2026-01-27,NORTH CAFE,coffee and lunch,-16482,RUB,4406,card,posted,food.cafe,RU,5814,AUTH-0000000116,TERM-1026,counterparty-20,6501878,household account; coffee and lunch; statement export,PROVIDER-2026-00000116,0
TX-000117,2026-01-27 17:39:00,2026-01-28,MEDI-CORNER,pharmacy goods,-16619,RUB,4407,qr,posted,health.pharmacy,RU,5912,AUTH-0000000117,TERM-1027,counterparty-21,6485259,household account; pharmacy goods; statement export,PROVIDER-2026-00000117,1
TX-000118,2026-01-28 18:46:00,2026-01-29,STREAM BOX,monthly subscription,-16756,RUB,4408,card,posted,services.digital,RU,4899,AUTH-0000000118,TERM-1028,counterparty-22,6468503,household account; monthly subscription; statement export,PROVIDER-2026-00000118,2
TX-000119,2026-01-29 19:53:00,2026-01-30,GREEN MARKET,fresh food,-16893,RUB,4409,card,posted,food.groceries,RU,5411,AUTH-0000000119,TERM-1029,counterparty-23,6451610,household account; fresh food; statement export,PROVIDER-2026-00000119,3
TX-000120,2026-01-30 08:00:00,2026-01-31,BOOK HOUSE,books and stationery,-17030,RUB,4400,qr,posted,unknown,RU,5942,AUTH-0000000120,TERM-1030,counterparty-24,6434580,household account; books and stationery; statement export,PROVIDER-2026-00000120,0
TX-000121,2026-01-31 09:07:00,2026-02-01,NOVA MARKET,groceries,-17167,RUB,4401,card,posted,food.groceries,RU,5311,AUTH-0000000121,TERM-1031,counterparty-25,6417413,household account; groceries; statement export,PROVIDER-2026-00000121,1
TX-000122,2026-02-01 10:14:00,2026-02-02,CITY RIDE,completed ride,-17304,RUB,4402,card,posted,transport,RU,4121,AUTH-0000000122,TERM-1032,counterparty-26,6400109,household account; completed ride; statement export,PROVIDER-2026-00000122,2
TX-000123,2026-02-02 11:21:00,2026-02-03,RIVER PAY,online order,-17441,RUB,4403,qr,posted,services.digital,RU,5812,AUTH-0000000123,TERM-1033,counterparty-27,6382668,household account; online order; statement export,PROVIDER-2026-00000123,3
TX-000124,2026-02-03 12:28:00,2026-02-04,NORTH CAFE,coffee and lunch,-17578,RUB,4404,card,posted,food.cafe,RU,5814,AUTH-0000000124,TERM-1034,counterparty-28,6365090,household account; coffee and lunch; statement export,PROVIDER-2026-00000124,0
TX-000125,2026-02-04 13:35:00,2026-02-05,MEDI-CORNER,pharmacy goods,-17715,RUB,4405,card,posted,health.pharmacy,RU,5912,AUTH-0000000125,TERM-1035,counterparty-29,6347375,household account; pharmacy goods; statement export,PROVIDER-2026-00000125,1
TX-000126,2026-02-05 14:42:00,2026-02-06,STREAM BOX,monthly subscription,-17852,RUB,4406,qr,posted,services.digital,RU,4899,AUTH-0000000126,TERM-1036,counterparty-30,6329523,household account; monthly subscription; statement export,PROVIDER-2026-00000126,2
TX-000127,2026-02-06 15:49:00,2026-02-07,GREEN MARKET,fresh food,-17989,RUB,4407,card,posted,food.groceries,RU,5411,AUTH-0000000127,TERM-1037,counterparty-31,6311534,household account; fresh food; statement export,PROVIDER-2026-00000127,3
TX-000128,2026-02-07 16:56:00,2026-02-08,BOOK HOUSE,books and stationery,-18126,RUB,4408,card,posted,unknown,RU,5942,AUTH-0000000128,TERM-1038,counterparty-00,6293408,household account; books and stationery; statement export,PROVIDER-2026-00000128,0
TX-000129,2026-02-08 17:03:00,2026-02-09,NOVA MARKET,groceries,-18263,RUB,4409,qr,posted,food.groceries,RU,5311,AUTH-0000000129,TERM-1039,counterparty-01,6275145,household account; groceries; statement export,PROVIDER-2026-00000129,1
TX-000130,2026-02-09 18:10:00,2026-02-10,CITY RIDE,completed ride,-18400,RUB,4400,card,posted,transport,RU,4121,AUTH-0000000130,TERM-1040,counterparty-02,6256745,household account; completed ride; statement export,PROVIDER-2026-00000130,2
TX-000131,2026-02-10 19:17:00,2026-02-11,RIVER PAY,online order,-18537,RUB,4401,card,posted,services.digital,RU,5812,AUTH-0000000131,TERM-1041,counterparty-03,6238208,household account; online order; statement export,PROVIDER-2026-00000131,3
TX-000132,2026-02-11 08:24:00,2026-02-12,NORTH CAFE,coffee and lunch,-18674,RUB,4402,qr,posted,food.cafe,RU,5814,AUTH-0000000132,TERM-1042,counterparty-04,6219534,household account; coffee and lunch; statement export,PROVIDER-2026-00000132,0
TX-000133,2026-02-12 09:31:00,2026-02-13,MEDI-CORNER,pharmacy goods,-18811,RUB,4403,card,posted,health.pharmacy,RU,5912,AUTH-0000000133,TERM-1043,counterparty-05,6200723,household account; pharmacy goods; statement export,PROVIDER-2026-00000133,1
TX-000134,2026-02-13 10:38:00,2026-02-14,STREAM BOX,monthly subscription,-18948,RUB,4404,card,posted,services.digital,RU,4899,AUTH-0000000134,TERM-1044,counterparty-06,6181775,household account; monthly subscription; statement export,PROVIDER-2026-00000134,2
TX-000135,2026-02-14 11:45:00,2026-02-15,GREEN MARKET,fresh food,-19085,RUB,4405,qr,posted,food.groceries,RU,5411,AUTH-0000000135,TERM-1045,counterparty-07,6162690,household account; fresh food; statement export,PROVIDER-2026-00000135,3
TX-000136,2026-02-15 12:52:00,2026-02-16,BOOK HOUSE,books and stationery,-19222,RUB,4406,card,posted,unknown,RU,5942,AUTH-0000000136,TERM-1046,counterparty-08,6143468,household account; books and stationery; statement export,PROVIDER-2026-00000136,0
TX-000137,2026-02-16 13:59:00,2026-02-17,SALARY TEST,monthly income,250000,RUB,4407,card,posted,income.salary,RU,6011,AUTH-0000000137,TERM-1047,counterparty-09,6393468,household account; monthly income; statement export,PROVIDER-2026-00000137,1
TX-000138,2026-02-17 14:06:00,2026-02-18,CITY RIDE,completed ride,-19496,RUB,4408,qr,posted,transport,RU,4121,AUTH-0000000138,TERM-1048,counterparty-10,6373972,household account; completed ride; statement export,PROVIDER-2026-00000138,2
TX-000139,2026-02-18 15:13:00,2026-02-19,RIVER PAY,online order,-19633,RUB,4409,card,posted,services.digital,RU,5812,AUTH-0000000139,TERM-1049,counterparty-11,6354339,household account; online order; statement export,PROVIDER-2026-00000139,3
TX-000140,2026-02-19 16:20:00,2026-02-20,NORTH CAFE,coffee and lunch,-19770,RUB,4400,card,posted,food.cafe,RU,5814,AUTH-0000000140,TERM-1050,counterparty-12,6334569,household account; coffee and lunch; statement export,PROVIDER-2026-00000140,0
TX-000141,2026-02-20 17:27:00,2026-02-21,MEDI-CORNER,pharmacy goods,-19907,RUB,4401,qr,posted,health.pharmacy,RU,5912,AUTH-0000000141,TERM-1051,counterparty-13,6314662,household account; pharmacy goods; statement export,PROVIDER-2026-00000141,1
TX-000142,2026-02-21 18:34:00,2026-02-22,STREAM BOX,monthly subscription,-20044,RUB,4402,card,posted,services.digital,RU,4899,AUTH-0000000142,TERM-1052,counterparty-14,6294618,household account; monthly subscription; statement export,PROVIDER-2026-00000142,2
TX-000143,2026-02-22 19:41:00,2026-02-23,GREEN MARKET,fresh food,-20181,RUB,4403,card,posted,food.groceries,RU,5411,AUTH-0000000143,TERM-1053,counterparty-15,6274437,household account; fresh food; statement export,PROVIDER-2026-00000143,3
TX-000144,2026-02-23 08:48:00,2026-02-24,BOOK HOUSE,books and stationery,-20318,RUB,4404,qr,posted,unknown,RU,5942,AUTH-0000000144,TERM-1054,counterparty-16,6254119,household account; books and stationery; statement export,PROVIDER-2026-00000144,0
TX-000145,2026-02-24 09:55:00,2026-02-25,NOVA MARKET,groceries,-20455,RUB,4405,card,posted,food.groceries,RU,5311,AUTH-0000000145,TERM-1055,counterparty-17,6233664,household account; groceries; statement export,PROVIDER-2026-00000145,1
TX-000146,2026-02-25 10:02:00,2026-02-26,CITY RIDE,completed ride,-20592,RUB,4406,card,posted,transport,RU,4121,AUTH-0000000146,TERM-1056,counterparty-18,6213072,household account; completed ride; statement export,PROVIDER-2026-00000146,2
TX-000147,2026-02-26 11:09:00,2026-02-27,RIVER PAY,online order,-20729,RUB,4407,qr,posted,services.digital,RU,5812,AUTH-0000000147,TERM-1057,counterparty-19,6192343,household account; online order; statement export,PROVIDER-2026-00000147,3
TX-000148,2026-02-27 12:16:00,2026-02-28,NORTH CAFE,coffee and lunch,-20866,RUB,4408,card,posted,food.cafe,RU,5814,AUTH-0000000148,TERM-1058,counterparty-20,6171477,household account; coffee and lunch; statement export,PROVIDER-2026-00000148,0
TX-000149,2026-02-28 13:23:00,2026-03-01,MEDI-CORNER,pharmacy goods,-21003,RUB,4409,card,posted,health.pharmacy,RU,5912,AUTH-0000000149,TERM-1059,counterparty-21,6150474,household account; pharmacy goods; statement export,PROVIDER-2026-00000149,1
TX-000150,2026-03-01 14:30:00,2026-03-02,STREAM BOX,monthly subscription,-21140,RUB,4400,qr,posted,services.digital,RU,4899,AUTH-0000000150,TERM-1060,counterparty-22,6129334,household account; monthly subscription; statement export,PROVIDER-2026-00000150,2
TX-000151,2026-03-02 15:37:00,2026-03-03,GREEN MARKET,fresh food,-21277,RUB,4401,card,posted,food.groceries,RU,5411,AUTH-0000000151,TERM-1061,counterparty-23,6108057,household account; fresh food; statement export,PROVIDER-2026-00000151,3
TX-000152,2026-03-03 16:44:00,2026-03-04,BOOK HOUSE,books and stationery,-21414,RUB,4402,card,posted,unknown,RU,5942,AUTH-0000000152,TERM-1062,counterparty-24,6086643,household account; books and stationery; statement export,PROVIDER-2026-00000152,0
TX-000153,2026-03-04 17:51:00,2026-03-05,NOVA MARKET,groceries,-21551,RUB,4403,qr,posted,food.groceries,RU,5311,AUTH-0000000153,TERM-1063,counterparty-25,6065092,household account; groceries; statement export,PROVIDER-2026-00000153,1
TX-000154,2026-03-05 18:58:00,2026-03-06,CITY RIDE,completed ride,-21688,RUB,4404,card,posted,transport,RU,4121,AUTH-0000000154,TERM-1064,counterparty-26,6043404,household account; completed ride; statement export,PROVIDER-2026-00000154,2
TX-000155,2026-03-06 19:05:00,2026-03-07,RIVER PAY,online order,-21825,RUB,4405,card,posted,services.digital,RU,5812,AUTH-0000000155,TERM-1065,counterparty-27,6021579,household account; online order; statement export,PROVIDER-2026-00000155,3
TX-000156,2026-03-07 08:12:00,2026-03-08,NORTH CAFE,coffee and lunch,-21962,RUB,4406,qr,posted,food.cafe,RU,5814,AUTH-0000000156,TERM-1066,counterparty-28,5999617,household account; coffee and lunch; statement export,PROVIDER-2026-00000156,0
TX-000157,2026-03-08 09:19:00,2026-03-09,MEDI-CORNER,pharmacy goods,-22099,RUB,4407,card,posted,health.pharmacy,RU,5912,AUTH-0000000157,TERM-1067,counterparty-29,5977518,household account; pharmacy goods; statement export,PROVIDER-2026-00000157,1
TX-000158,2026-03-09 10:26:00,2026-03-10,STREAM BOX,monthly subscription,-236,RUB,4408,card,posted,services.digital,RU,4899,AUTH-0000000158,TERM-1068,counterparty-30,5977282,household account; monthly subscription; statement export,PROVIDER-2026-00000158,2
TX-000159,2026-03-10 11:33:00,2026-03-11,GREEN MARKET,fresh food,-373,RUB,4409,qr,posted,food.groceries,RU,5411,AUTH-0000000159,TERM-1069,counterparty-31,5976909,household account; fresh food; statement export,PROVIDER-2026-00000159,3
TX-000160,2026-03-11 12:40:00,2026-03-12,BOOK HOUSE,books and stationery,-510,RUB,4400,card,posted,unknown,RU,5942,AUTH-0000000160,TERM-1070,counterparty-00,5976399,household account; books and stationery; statement export,PROVIDER-2026-00000160,0
TX-000161,2026-03-12 13:47:00,2026-03-13,NOVA MARKET,groceries,-647,RUB,4401,card,posted,food.groceries,RU,5311,AUTH-0000000161,TERM-1071,counterparty-01,5975752,household account; groceries; statement export,PROVIDER-2026-00000161,1
TX-000162,2026-03-13 14:54:00,2026-03-14,CITY RIDE,completed ride,-784,RUB,4402,qr,posted,transport,RU,4121,AUTH-0000000162,TERM-1072,counterparty-02,5974968,household account; completed ride; statement export,PROVIDER-2026-00000162,2
TX-000163,2026-03-14 15:01:00,2026-03-15,RIVER PAY,online order,-921,RUB,4403,card,posted,services.digital,RU,5812,AUTH-0000000163,TERM-1073,counterparty-03,5974047,household account; online order; statement export,PROVIDER-2026-00000163,3
TX-000164,2026-03-15 16:08:00,2026-03-16,NORTH CAFE,coffee and lunch,-1058,RUB,4404,card,posted,food.cafe,RU,5814,AUTH-0000000164,TERM-1074,counterparty-04,5972989,household account; coffee and lunch; statement export,PROVIDER-2026-00000164,0
TX-000165,2026-03-16 17:15:00,2026-03-17,MEDI-CORNER,pharmacy goods,-1195,RUB,4405,qr,posted,health.pharmacy,RU,5912,AUTH-0000000165,TERM-1075,counterparty-05,5971794,household account; pharmacy goods; statement export,PROVIDER-2026-00000165,1
TX-000166,2026-03-17 18:22:00,2026-03-18,STREAM BOX,monthly subscription,-1332,RUB,4406,card,posted,services.digital,RU,4899,AUTH-0000000166,TERM-1076,counterparty-06,5970462,household account; monthly subscription; statement export,PROVIDER-2026-00000166,2
TX-000167,2026-03-18 19:29:00,2026-03-19,GREEN MARKET,fresh food,-1469,RUB,4407,card,posted,food.groceries,RU,5411,AUTH-0000000167,TERM-1077,counterparty-07,5968993,household account; fresh food; statement export,PROVIDER-2026-00000167,3
TX-000168,2026-03-19 08:36:00,2026-03-20,BOOK HOUSE,books and stationery,-1606,RUB,4408,qr,posted,unknown,RU,5942,AUTH-0000000168,TERM-1078,counterparty-08,5967387,household account; books and stationery; statement export,PROVIDER-2026-00000168,0
TX-000169,2026-03-20 09:43:00,2026-03-21,NOVA MARKET,groceries,-1743,RUB,4409,card,posted,food.groceries,RU,5311,AUTH-0000000169,TERM-1079,counterparty-09,5965644,household account; groceries; statement export,PROVIDER-2026-00000169,1
TX-000170,2026-03-21 10:50:00,2026-03-22,CITY RIDE,completed ride,-1880,RUB,4400,card,posted,transport,RU,4121,AUTH-0000000170,TERM-1080,counterparty-10,5963764,household account; completed ride; statement export,PROVIDER-2026-00000170,2
TX-000171,2026-03-22 11:57:00,2026-03-23,RIVER PAY,online order,-2017,RUB,4401,qr,posted,services.digital,RU,5812,AUTH-0000000171,TERM-1081,counterparty-11,5961747,household account; online order; statement export,PROVIDER-2026-00000171,3
TX-000172,2026-03-23 12:04:00,2026-03-24,NORTH CAFE,coffee and lunch,-2154,RUB,4402,card,posted,food.cafe,RU,5814,AUTH-0000000172,TERM-1082,counterparty-12,5959593,household account; coffee and lunch; statement export,PROVIDER-2026-00000172,0
TX-000173,2026-03-24 13:11:00,2026-03-25,MEDI-CORNER,pharmacy goods,-2291,RUB,4403,card,posted,health.pharmacy,RU,5912,AUTH-0000000173,TERM-1083,counterparty-13,5957302,household account; pharmacy goods; statement export,PROVIDER-2026-00000173,1
TX-000174,2026-03-25 14:18:00,2026-03-26,STREAM BOX,monthly subscription,-2428,RUB,4404,qr,posted,services.digital,RU,4899,AUTH-0000000174,TERM-1084,counterparty-14,5954874,household account; monthly subscription; statement export,PROVIDER-2026-00000174,2
TX-000175,2026-03-26 15:25:00,2026-03-27,GREEN MARKET,fresh food,-2565,RUB,4405,card,posted,food.groceries,RU,5411,AUTH-0000000175,TERM-1085,counterparty-15,5952309,household account; fresh food; statement export,PROVIDER-2026-00000175,3
TX-000176,2026-03-27 16:32:00,2026-03-28,BOOK HOUSE,books and stationery,-2702,RUB,4406,card,posted,unknown,RU,5942,AUTH-0000000176,TERM-1086,counterparty-16,5949607,household account; books and stationery; statement export,PROVIDER-2026-00000176,0
TX-000177,2026-03-28 17:39:00,2026-03-29,NOVA MARKET,groceries,-2839,RUB,4407,qr,posted,food.groceries,RU,5311,AUTH-0000000177,TERM-1087,counterparty-17,5946768,household account; groceries; statement export,PROVIDER-2026-00000177,1
TX-000178,2026-03-29 18:46:00,2026-03-30,CITY RIDE,completed ride,-2976,RUB,4408,card,posted,transport,RU,4121,AUTH-0000000178,TERM-1088,counterparty-18,5943792,household account; completed ride; statement export,PROVIDER-2026-00000178,2
TX-000179,2026-03-30 19:53:00,2026-03-31,RIVER PAY,online order,-3113,RUB,4409,card,posted,services.digital,RU,5812,AUTH-0000000179,TERM-1089,counterparty-19,5940679,household account; online order; statement export,PROVIDER-2026-00000179,3
TX-000180,2026-03-31 08:00:00,2026-04-01,NORTH CAFE,coffee and lunch,-3250,RUB,4400,qr,posted,food.cafe,RU,5814,AUTH-0000000180,TERM-1000,counterparty-20,5937429,household account; coffee and lunch; statement export,PROVIDER-2026-00000180,0
TX-000181,2026-01-01 09:07:00,2026-01-02,MEDI-CORNER,pharmacy goods,-3387,RUB,4401,card,posted,health.pharmacy,RU,5912,AUTH-0000000181,TERM-1001,counterparty-21,5934042,household account; pharmacy goods; statement export,PROVIDER-2026-00000181,1
TX-000182,2026-01-02 10:14:00,2026-01-03,STREAM BOX,monthly subscription,-3524,RUB,4402,card,posted,services.digital,RU,4899,AUTH-0000000182,TERM-1002,counterparty-22,5930518,household account; monthly subscription; statement export,PROVIDER-2026-00000182,2
TX-000183,2026-01-03 11:21:00,2026-01-04,GREEN MARKET,fresh food,-3661,RUB,4403,qr,posted,food.groceries,RU,5411,AUTH-0000000183,TERM-1003,counterparty-23,5926857,household account; fresh food; statement export,PROVIDER-2026-00000183,3
TX-000184,2026-01-04 12:28:00,2026-01-05,BOOK HOUSE,books and stationery,-3798,RUB,4404,card,posted,unknown,RU,5942,AUTH-0000000184,TERM-1004,counterparty-24,5923059,household account; books and stationery; statement export,PROVIDER-2026-00000184,0
TX-000185,2026-01-05 13:35:00,2026-01-06,NOVA MARKET,groceries,-3935,RUB,4405,card,posted,food.groceries,RU,5311,AUTH-0000000185,TERM-1005,counterparty-25,5919124,household account; groceries; statement export,PROVIDER-2026-00000185,1
